schoolName,email,lang,contact,status,sentAt,note
International School Bangkok (ISB),admissions@isb.ac.th,en,,,,"出典あり(公式サイト)。ただし入学課宛。体育科の宛先を優先して差し替えること"
BASIS International School Bangkok,admissions@basis.ac.th,en,,,,"出典あり(公式サイト)。入学課宛。要差し替え検討"
International Community School (ICS),admissions@ics.ac.th,en,,,,"出典あり(公式サイト)。入学課宛。要差し替え検討"
Bangkok Prep International School,admissions@bkkprep.ac.th,en,,,,"出典あり(公式サイト)。入学課宛。要差し替え検討"
NIST International School,,en,,,,要調査
Bangkok Patana School,,en,,,,要調査
Harrow International School Bangkok,,en,,,,要調査
Shrewsbury International School Bangkok,,en,,,,要調査
St Andrews International School Bangkok,,en,,,,要調査
Regent's International School Bangkok,,en,,,,要調査
Bromsgrove International School Thailand,,en,,,,要調査
British Columbia International School Bangkok,,en,,,,要調査
Ruamrudee International School (RIS),,en,,,,要調査
American School of Bangkok (ASB),,en,,,,要調査
Pan-Asia International School,,en,,,,要調査
KIS International School,,en,,,,要調査
Wells International School,,en,,,,要調査
Concordian International School,,en,,,,要調査
Ekamai International School,,en,,,,要調査
Garden International School Bangkok,,en,,,,要調査
Rajapark International School,,en,,,,"大会の Presented by。既に関係あり。宛名と文面は個別に調整すること"
Traill International School,,en,,,,要調査
Trinity International School,,en,,,,要調査
Anglo Singapore International School,,en,,,,要調査
Singapore International School of Bangkok,,en,,,,要調査
Thai-Chinese International School,,en,,,,要調査
Berkeley International School,,en,,,,要調査
Australian International School Bangkok,,en,,,,要調査
Denla British School,,en,,,,要調査
Brighton College Bangkok,,en,,,,要調査
